threshold,precision,recall,specificity,f1,f2,youdens_j,tp,fp,fn,tn,score
0.36,0.8879310344827587,0.9196428571428571,0.9693396226415094,0.9035087719298246,0.9131205673758866,0.8889824797843664,103,13,9,411,0.9035087719298246
0.37,0.8956521739130435,0.9196428571428571,0.9716981132075472,0.9074889867841409,0.9147424511545292,0.8913409703504043,103,12,9,412,0.9074889867841409
0.38,0.9026548672566371,0.9107142857142857,0.9740566037735849,0.9066666666666666,0.909090909090909,0.8847708894878705,102,11,10,413,0.9066666666666666
0.39,0.9107142857142857,0.9107142857142857,0.9764150943396226,0.9107142857142857,0.9107142857142857,0.8871293800539082,102,10,10,414,0.9107142857142857
0.4,0.9272727272727272,0.9107142857142857,0.9811320754716981,0.918918918918919,0.913978494623656,0.8918463611859839,102,8,10,416,0.918918918918919
0.41,0.9272727272727272,0.9107142857142857,0.9811320754716981,0.918918918918919,0.913978494623656,0.8918463611859839,102,8,10,416,0.918918918918919
0.42,0.9272727272727272,0.9107142857142857,0.9811320754716981,0.918918918918919,0.913978494623656,0.8918463611859839,102,8,10,416,0.918918918918919
0.43,0.9351851851851852,0.9017857142857143,0.9834905660377359,0.9181818181818182,0.9082733812949643,0.8852762803234502,101,7,11,417,0.9181818181818182
0.44,0.9428571428571428,0.8839285714285714,0.9858490566037735,0.9124423963133641,0.8951175406871611,0.8697776280323448,99,6,13,418,0.9124423963133641
0.45,0.9423076923076923,0.875,0.9858490566037735,0.9074074074074073,0.8876811594202899,0.8608490566037736,98,6,14,418,0.9074074074074073
0.46,0.9423076923076923,0.875,0.9858490566037735,0.9074074074074073,0.8876811594202899,0.8608490566037736,98,6,14,418,0.9074074074074073
0.47,0.9504950495049505,0.8571428571428571,0.9882075471698113,0.9014084507042253,0.8743169398907104,0.8453504043126685,96,5,16,419,0.9014084507042253
0.48,0.9690721649484536,0.8392857142857143,0.9929245283018868,0.8995215311004785,0.8623853211009175,0.832210242587601,94,3,18,421,0.8995215311004785
0.49,0.9782608695652174,0.8035714285714286,0.9952830188679245,0.8823529411764706,0.8333333333333335,0.7988544474393531,90,2,22,422,0.8823529411764706
0.5,0.9782608695652174,0.8035714285714286,0.9952830188679245,0.8823529411764706,0.8333333333333335,0.7988544474393531,90,2,22,422,0.8823529411764706
0.51,0.978021978021978,0.7946428571428571,0.9952830188679245,0.876847290640394,0.8256029684601112,0.7899258760107815,89,2,23,422,0.876847290640394
0.52,0.978021978021978,0.7946428571428571,0.9952830188679245,0.876847290640394,0.8256029684601112,0.7899258760107815,89,2,23,422,0.876847290640394
0.53,0.9775280898876404,0.7767857142857143,0.9952830188679245,0.8656716417910447,0.8100558659217877,0.7720687331536387,87,2,25,422,0.8656716417910447
0.54,0.9772727272727273,0.7678571428571429,0.9952830188679245,0.86,0.8022388059701493,0.7631401617250675,86,2,26,422,0.86
0.55,0.9759036144578314,0.7232142857142857,0.9952830188679245,0.8307692307692307,0.7627118644067796,0.7184973045822103,81,2,31,422,0.8307692307692307
0.56,0.9753086419753086,0.7053571428571429,0.9952830188679245,0.8186528497409328,0.7466918714555767,0.7006401617250675,79,2,33,422,0.8186528497409328
0.57,0.9753086419753086,0.7053571428571429,0.9952830188679245,0.8186528497409328,0.7466918714555767,0.7006401617250675,79,2,33,422,0.8186528497409328
0.58,0.9753086419753086,0.7053571428571429,0.9952830188679245,0.8186528497409328,0.7466918714555767,0.7006401617250675,79,2,33,422,0.8186528497409328
0.59,0.9873417721518988,0.6964285714285714,0.9976415094339622,0.8167539267015707,0.7400379506641366,0.6940700808625335,78,1,34,423,0.8167539267015707
0.6,0.9871794871794872,0.6875,0.9976415094339622,0.8105263157894737,0.7319391634980988,0.6851415094339623,77,1,35,423,0.8105263157894737
